,rain (mm),surface_pressure (hPa),dewpoint_2m (°C),windgusts_10m (km/h),diffuse_radiation (W/m²),Yield (mt/ha)
78,0.136068568763119,0.985923476617856,0.9426605504587156,0.3999999999999999,0.4278903456495828,0.1969632327308286
79,0.2333048278006686,0.9880963627775152,0.9300458715596328,0.3166666666666666,0.5822407628128725,0.1919915548472639
80,0.2034906320454015,0.9857345299952768,0.9747706422018344,0.4166666666666666,0.6138259833134678,0.1950042434741623
81,0.2739252118479359,0.9807274444969298,0.9667431192660544,0.3,0.6168057210965432,0.1967040892629362
82,0.355515820570629,0.9799716580066136,0.9644495412844032,0.3777777777777778,0.7669845053635274,0.1912997439721688
83,0.2232760631267978,0.9807274444969298,0.9850917431192658,0.3388888888888888,0.7365911799761622,0.1895588005043608
84,0.3127963927544118,0.98308927727917,0.9655963302752292,0.261111111111111,0.4690107270560184,0.1843930500079006
85,0.3953782165902201,0.9775153519130856,0.9805045871559632,0.3611111111111111,0.9851013110846244,0.1809111630722847
86,0.3082873357692607,0.9810108644307984,0.9793577981651372,0.3999999999999999,0.6901072705601909,0.1752214175829707
87,0.3781582834486512,0.9820500708549832,0.9816513761467892,0.3999999999999999,0.6495828367103686,0.1700408261381307
88,0.2189613620461789,0.986112423240435,0.954128440366972,0.3611111111111111,0.5744934445768775,0.166241573884381
89,0.1377205939516442,0.9934813415210204,0.9311926605504586,0.3999999999999999,0.3331346841477942,0.1661274137385895
90,0.2684638109305761,0.9887576759565436,0.9816513761467892,0.3999999999999999,0.4404052443384985,0.1609902035274751
91,0.3846303350695794,0.9836561171469054,1.0,0.3388888888888888,0.8039332538736583,0.161458260224779
92,0.1989232682888906,0.9839395370807758,0.9931192660550456,0.3166666666666666,0.5095351609058398,0.1747134044861828
93,0.1337168623182772,0.9915918752952296,0.9311926605504586,0.3,0.3116805721096543,0.1694380602895866
94,0.3258765451294411,0.987529522909778,0.9633027522935778,0.3999999999999999,0.3998808104886771,0.1733252159584735
95,0.3261875145766928,0.9835616438356158,0.9954128440366968,0.3,0.7485101311084619,0.1564009621489048
96,0.2504146259296691,0.2607778302629508,0.4189602446483178,0.2777777777777777,0.4071315057608262,0.1438892830285701
97,0.1874757055119334,0.2622421665879368,0.4166666666666661,0.3,0.6843464441795777,0.1435920840769434
98,0.2219544429759775,0.2651236025822712,0.3690749235474002,0.1999999999999999,0.6574294795391338,0.135790258908505
99,0.2837045531109902,0.2632183908045977,0.4327217125382256,0.1777777777777777,0.5912793007548669,0.1328074967619743
100,0.2514123195729353,0.2609667768855299,0.4269877675840976,0.2166666666666666,0.5249304727850617,0.1325574569813797
101,0.3812809349814714,0.2599118249094641,0.4501146788990824,0.061111111111111,0.5386372665872066,0.131913696663438
102,0.3977202052398353,0.2538025507794046,0.4680810397553516,0.2388888888888888,0.6024036551450132,0.1312539962642671
103,0.2856740262769184,0.2685403873405771,0.43960244648318,0.1388888888888889,0.3583631307111639,0.1259201813195921
104,0.2785022933996735,0.2674539442607457,0.4222094801223242,0.0777777777777777,0.3444576877234806,0.1259831435121112
105,0.5283662442665009,0.2528105810108645,0.4711391437308867,0.0777777777777777,0.6567342073897495,0.12630582528805
106,0.417677317370235,0.2512832624783492,0.468272171253822,0.1166666666666666,0.7200039729837102,0.126426211530276
107,0.313421570913991,0.2540702251613922,0.4688455657492354,0.1777777777777777,0.6714342471195862,0.1387301233468421
108,0.2417204384669206,0.2616438356164376,0.4394113149847087,0.3388888888888888,0.3831942789034559,0.145097166976153
109,0.3444926015185674,0.2607148480554251,0.4583333333333335,0.1388888888888889,0.5932657926102496,0.1413717590602336
110,0.2391322656715643,0.2587151629664621,0.4598623853211006,0.2388888888888888,0.5191696464044502,0.1411050036327485
111,0.3118602451475809,0.2614548889938586,0.4468654434250765,0.1777777777777777,0.5508541914978147,0.1414418792226901
112,0.2983589883127316,0.259108801763503,0.4600535168195714,0.1999999999999999,0.5330750893921334,0.1500303234392317
113,0.3404856306201249,0.2549992127224083,0.4720948012232409,0.3166666666666666,0.5672427493047274,0.1505320885365753
114,0.4324321697893183,0.2539757518501009,0.4678899082568808,0.2166666666666666,0.6147199046483904,0.147991504681407
115,0.4181178574205084,0.2543378995433798,0.4818425076452599,0.1388888888888889,0.5541319030591976,0.1416400447116225
116,0.3231361268755345,0.2594866950086612,0.481269113149847,0.1611111111111111,0.4012713547874447,0.1631626724592083
117,0.4895274560107804,0.25147220910093,0.499426605504587,0.1,0.776718315454906,0.1607658785439769
118,0.40128987535308,0.2551251771374598,0.4808868501529044,0.3388888888888888,0.6315057608263808,0.1380885201434906
119,0.4578344865117002,0.2562903479766945,0.4963685015290511,0.1777777777777777,0.5964441795788633,0.1432508454738455
120,0.4219045582938143,0.2587151629664621,0.4889143730886847,0.1166666666666666,0.6330949543106876,0.1475650746540074
121,0.2912164088211666,0.2669658321524171,0.4652140672782874,0.3611111111111111,0.3454509336511724,0.1485237922864727
122,0.3254327658140922,0.2645567627145322,0.488532110091743,0.261111111111111,0.5094358363130707,0.1545710878156872
123,0.5426578817797818,0.2581955597543697,0.528669724770642,0.0166666666666666,0.7179181565355575,0.1584059583455484
124,0.2697271243100365,0.2579436309242631,0.4864296636085621,0.1388888888888889,0.4818235995232416,0.1619753375170743
125,0.2579491564953743,0.2659108801763494,0.4518348623853208,0.061111111111111,0.4549066348827968,0.1655373423434761
126,0.3770439762626655,0.2631711541489547,0.482415902140672,0.061111111111111,0.4446762018275723,0.1563692638477992
127,0.5225355671305295,0.2578649031648563,0.5162461773700304,0.0777777777777777,0.59574890742948,0.1789214946681906
128,0.2083106584778045,0.937269721303732,0.8589449541284404,0.7,0.171632896305125,0.7060463177589503
129,0.1694200419808753,0.939253660840814,0.8394495412844032,0.4166666666666666,0.3712753277711553,0.5948672246837371
130,0.1596633755733499,0.9420878601795,0.8176605504587156,0.3166666666666666,0.4088200238379023,0.5776266137582078
131,0.3159643939982897,0.9407652338214464,0.8463302752293576,0.3999999999999999,0.3825983313468417,0.5268669420326982
