,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
237,BASILAN,1999,1441.19,3135,0.459709729
238,LANAO DEL SUR,1999,252.93,1972,0.128260649
239,MAGUINDANAO,1999,3241.03,3425,0.946286131
240,SULU,1999,2212.42,1014,2.181873767
241,ZAMBOANGA DEL NORTE,2000,142.33,160,0.8895625
242,ZAMBOANGA DEL SUR,2000,99.99,143,0.699230769
243,ZAMBOANGA SIBUGAY,2000,33.94,53,0.640377358
244,ZAMBOANGA CITY,2000,59.5,85,0.7
245,BUKIDNON,2000,4571.36,11385,0.401524813
246,CAMIGUIN,2000,57.13,46,1.241956522
247,LANAO DEL NORTE,2000,137.6,283,0.486219081
248,MISAMIS OCCIDENTAL,2000,6.34,97,0.065360825
249,MISAMIS ORIENTAL,2000,320.34,390,0.821384615
250,DAVAO DE ORO,2000,13159.67,11650,1.129585408
251,DAVAO DEL NORTE,2000,662.58,609,1.087980296
252,DAVAO DEL SUR,2000,3596.55,4203,0.855710207
253,DAVAO ORIENTAL,2000,1343.52,1505,0.892704319
254,DAVAO CITY,2000,6738.7,5612,1.200766215
255,COTABATO,2000,834.52,1926,0.433291796
256,SARANGANI,2000,153.7,144,1.067361111
257,SULTAN KUDARAT,2000,5209.39,10668,0.488319273
258,SOUTH COTABATO,2000,1667.58,1040,1.603442308
259,AGUSAN DEL NORTE,2000,266.77,214,1.246588785
260,AGUSAN DEL SUR,2000,382.61,1450,0.263868966
261,SURIGAO DEL NORTE,2000,10,20,0.5
262,SURIGAO DEL SUR,2000,3163.42,2650,1.193743396
263,BASILAN,2000,1884.64,2907,0.648310974
264,LANAO DEL SUR,2000,209.33,1972,0.106151116
265,MAGUINDANAO,2000,3352.09,3425,0.978712409
266,SULU,2000,2534.44,1015,2.496985222
267,ZAMBOANGA DEL NORTE,2001,155.59,163,0.954539877
268,ZAMBOANGA DEL SUR,2001,103.27,136,0.759338235
269,ZAMBOANGA SIBUGAY,2001,35.52,53,0.670188679
270,ZAMBOANGA CITY,2001,68,85,0.8
271,BUKIDNON,2001,4714.95,10750,0.4386
272,CAMIGUIN,2001,44.12,30,1.470666667
273,LANAO DEL NORTE,2001,144.87,283,0.511908127
274,MISAMIS OCCIDENTAL,2001,5.34,97,0.055051546
275,MISAMIS ORIENTAL,2001,314.33,388,0.810128866
