,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
141,2003,CAMIGUIN,4,11.5,26.62,82.55,23.37,1004.03,0.16,0.62,27.56,0.3,149.82,70.78,2519.2,1,11.2,100,29.57,36.0,0.821388889
142,2004,CAMIGUIN,4,9.2,26.76,82.34,23.47,1003.78,0.16,0.63,27.56,0.32,162.18,68.92,2125.3,1,11.9,100,27.72,34.0,0.815294118
143,2005,CAMIGUIN,4,6.9,26.76,81.76,23.35,1004.06,0.16,0.65,27.75,0.28,156.13,69.19,2716.7,1,13.3,100,28.66,41.0,0.69902439
144,2006,CAMIGUIN,4,5.9,26.94,81.49,23.47,1003.74,0.16,0.67,27.7,0.31,157.75,69.45,2189.6,1,12.2,100,23.43,36.5,0.641917808
145,2007,CAMIGUIN,4,8.7,26.96,81.35,23.46,1003.26,0.16,0.67,27.93,0.3,152.15,70.01,2898.3,1,13.0,100,20.28,32.0,0.63375
146,2008,CAMIGUIN,4,5.4,26.82,81.79,23.41,1003.17,0.16,0.65,27.56,0.33,151.2,71.22,3382.7,1,11.5,100,18.62,31.0,0.600645161
147,2009,CAMIGUIN,4,5.9,26.91,81.77,23.49,1003.22,0.16,0.66,27.71,0.3,149.07,69.81,2987.1,1,15.5,100,15.46,29.0,0.533103448
148,2010,CAMIGUIN,4,10.2,27.17,81.31,23.66,1003.63,0.17,0.68,28.18,0.28,165.82,66.52,3265.0,1,11.2,100,12.65,26.0,0.486538462
149,2011,CAMIGUIN,4,7.4,26.74,82.77,23.54,1002.89,0.15,0.61,27.33,0.36,136.09,75.05,3346.7,1,12.2,100,10.66,25.0,0.4264
150,2012,CAMIGUIN,4,6.4,26.94,81.4,23.45,1003.21,0.16,0.67,27.79,0.29,153.5,70.41,2335.9,1,12.2,100,8.63,23.0,0.375217391
151,2013,CAMIGUIN,4,9.4,26.94,81.86,23.54,1003.37,0.16,0.65,27.63,0.34,147.34,70.83,3349.1,1,13.0,100,8.15,22.5,0.362222222
152,2014,CAMIGUIN,4,9.2,26.71,82.3,23.4,1003.81,0.15,0.63,27.29,0.37,140.35,71.21,3605.5,1,11.9,100,7.34,22.0,0.333636364
153,2015,CAMIGUIN,4,8.7,26.81,81.6,23.37,1004.62,0.17,0.66,27.69,0.32,163.74,66.25,2325.2,1,20.5,100,6.9,21.25,0.324705882
154,2016,CAMIGUIN,4,5.9,27.25,81.62,23.8,1004.11,0.17,0.67,28.29,0.29,164.81,67.65,2456.9,1,13.3,100,5.03,21.0,0.23952381
155,2017,CAMIGUIN,4,9.2,27.02,82.74,23.81,1003.59,0.15,0.62,27.59,0.37,138.36,73.8,3601.3,1,11.5,100,4.79,20.5,0.233658537
156,2018,CAMIGUIN,4,8.7,27.18,81.15,23.63,1003.55,0.17,0.69,28.0,0.3,159.11,69.39,2129.3,1,13.7,100,4.33,19.0,0.227894737
157,2019,CAMIGUIN,4,11.5,27.12,80.12,23.35,1004.44,0.17,0.72,28.19,0.25,166.02,68.26,1909.2,1,13.7,100,4.0,18.0,0.222222222
158,2020,CAMIGUIN,4,4.1,27.14,81.68,23.71,1004.04,0.16,0.66,28.18,0.26,157.53,69.03,3292.0,1,13.3,100,3.63,18.04,0.201219512
159,2021,CAMIGUIN,4,5.4,27.09,81.82,23.68,1003.54,0.16,0.66,27.72,0.36,146.16,71.08,3979.0,1,12.2,100,3.77,18.03,0.209095951
160,1990,COTABATO,1,4.5,24.9675,81.2,21.25,963.8675,0.1625,0.67,25.8075,0.3924999999999999,147.8075,70.375,2079.575,1,11.5,100,495.98,977.0,0.50765609
161,1991,COTABATO,1,5.2,24.8725,81.2675,21.195,964.09,0.1575,0.6575,25.68,0.3974999999999999,140.7875,74.775,1890.15,1,11.5,100,493.33,982.0,0.502372709
162,1992,COTABATO,0,2.5,24.9775,79.475,20.8375,964.3725,0.1625,0.735,26.0375,0.3625,143.375,75.66,1787.6,1,10.8,100,518.59,982.0,0.528095723
163,1993,COTABATO,0,2.9,24.6275,83.2675,21.4025,964.195,0.1525,0.575,25.395,0.4275,136.895,74.365,2445.9,1,10.8,100,544.95,982.0,0.5549389
164,1994,COTABATO,1,4.5,24.6025,82.83500000000001,21.2925,963.99,0.155,0.59,25.3975,0.4175,138.6225,72.6625,2141.475,1,10.1,100,546.29,990.0,0.551808081
165,1995,COTABATO,1,4.2,24.7475,83.11749999999999,21.46,963.805,0.1525,0.5900000000000001,25.6225,0.4175,134.2725,74.1575,2749.8,1,9.4,100,551.28,1050.0,0.525028571
166,1996,COTABATO,3,2.9,24.4625,84.8925,21.595,963.1825,0.1475,0.515,25.3225,0.4325,127.43,75.2575,3103.225,51,7.6,100,620.3,1400.0,0.443071429
167,1997,COTABATO,1,4.2,24.71,82.795,21.4025,964.81,0.155,0.5925,25.4625,0.4175,142.265,70.7075,2383.275,1,10.8,100,738.5,1403.0,0.52637206
168,1998,COTABATO,0,2.2,25.5725,79.1075,21.245,964.4975,0.17,0.79,26.675,0.3775,150.23250000000002,69.6675,2307.1,1,9.7,100,715.67,1403.0,0.510099786
169,1999,COTABATO,0,4.0,24.22,86.3075,21.6475,963.1175,0.1425,0.4575,25.165,0.4425,117.495,77.19,3615.025,51,9.4,100,890.0,1039.0,0.856592878
170,2000,COTABATO,1,3.4,24.3125,85.9275,21.6675,962.9575,0.1425,0.475,25.1375,0.4399999999999999,116.6075,78.73,3181.625,51,11.2,100,834.52,1926.0,0.433291796
171,2001,COTABATO,1,3.4,24.5325,84.8825,21.6725,963.2575,0.1475,0.5125,25.32,0.4375,123.96,76.7975,2598.625,1,9.0,100,889.76,2425.0,0.36691134
172,2002,COTABATO,1,4.2,24.8425,82.185,21.39,964.03,0.155,0.6175,25.55,0.4125,142.55,70.22,2047.9,1,11.2,100,870.06,2426.12,0.358621997
173,2003,COTABATO,1,3.4,24.7275,83.755,21.62,963.915,0.1475,0.5575,25.5225,0.4225,127.27,74.7225,2738.9750000000004,1,8.6,100,1067.51,2426.12,0.44000709
174,2004,COTABATO,11,1.8,24.9175,82.67,21.5925,963.7325,0.155,0.6,25.645,0.4175,138.3775,72.3125,2149.125,1,7.9,100,1249.29,2545.0,0.490880157
175,2005,COTABATO,1,1.1,24.8775,82.645,21.505,963.99,0.15,0.605,25.69,0.41,128.5,74.63499999999999,2537.1,1,7.9,100,2511.48,2645.0,0.949519849
176,2006,COTABATO,1,3.4,24.77,83.5,21.615,963.7775,0.15,0.5675,25.4375,0.4275,133.21,73.115,2451.95,1,8.6,100,2134.85,2380.0,0.896995798
177,2007,COTABATO,0,2.5,24.835,83.5625,21.6725,963.29,0.1475,0.5725,25.585,0.425,128.0425,74.5625,2892.2250000000004,1,10.4,100,1780.81,2370.0,0.751396624
178,2008,COTABATO,0,2.5,24.515,84.855,21.6475,963.2375,0.1475,0.5175000000000001,25.295,0.4449999999999999,124.41,75.935,3202.9,1,7.9,100,1673.44,2360.0,0.709084746
179,2009,COTABATO,11,4.7,24.81,84.0725,21.785,963.25,0.1475,0.5499999999999999,25.4575,0.4325,126.2125,74.81,2925.625,1,9.4,100,1773.92,2010.0,0.882547264
180,2010,COTABATO,0,2.5,25.1975,82.3075,21.7525,963.685,0.155,0.63,25.942500000000003,0.4225,139.075,71.045,2739.45,1,8.3,100,1735.65,1910.0,0.908717277
181,2011,COTABATO,1,3.4,24.4875,85.9775,21.8625,962.9525,0.1375,0.475,25.275,0.4475,112.0025,78.3275,3461.4,51,8.3,100,1721.23,1855.0,0.927886792
182,2012,COTABATO,1,3.4,24.5825,84.735,21.695,963.3375,0.145,0.5175000000000001,25.2975,0.4399999999999999,123.135,75.1175,3022.325,1,10.4,100,1776.04,1895.0,0.937224274
183,2013,COTABATO,0,2.5,24.68,84.975,21.8375,963.435,0.14,0.5125,25.3825,0.4399999999999999,118.8575,74.4675,3365.05,51,8.6,100,1816.79,1900.0,0.956205263
184,2014,COTABATO,11,4.0,24.8125,84.1325,21.8025,963.71,0.145,0.545,25.49,0.4375,123.78,74.49,2980.925,1,9.7,100,1826.62,1900.0,0.961378947
185,2015,COTABATO,1,4.5,25.1125,81.375,21.4675,964.58,0.155,0.6575,25.7975,0.4075,140.0025,69.15,2294.75,1,10.4,100,1840.53,1902.0,0.967681388
186,2016,COTABATO,0,2.2,25.7325,79.9075,21.6625,964.2125,0.1575,0.75,26.575,0.3825,137.1425,72.2325,2663.9,1,8.6,100,1252.59,1850.0,0.677075676
187,2017,COTABATO,1,3.4,24.8625,85.31,22.0975,963.6025,0.1375,0.5075000000000001,25.595,0.4475,111.475,77.375,3799.125,51,9.0,100,1284.82,1845.0,0.696379404
188,2018,COTABATO,1,4.5,25.2425,82.0475,21.78,963.57,0.1575,0.6375000000000001,25.8675,0.425,140.0275,71.565,2284.5,1,14.0,100,1094.8,1678.0,0.652443385
189,2019,COTABATO,1,5.2,25.395,79.9925,21.43,964.4,0.16,0.7225,26.0125,0.405,142.3125,70.495,2103.05,1,11.2,100,910.61,1450.0,0.628006897
190,2020,COTABATO,0,1.8,25.4325,81.75,21.817500000000003,964.07,0.1525,0.6675,26.1825,0.4125,135.0125,70.9325,2844.675,1,7.9,100,729.88,1200.0,0.608233333
191,2021,COTABATO,0,2.9,24.9,84.7975,22.02,963.585,0.1425,0.53,25.6375,0.4399999999999999,121.685,74.8825,3661.05,1,7.6,100,593.02,1050.0,0.564780952
192,1990,DAVAO CITY,11,4.0,24.1,83.87,20.95,955.97,0.16,0.55,25.35,0.42,149.19,70.79,2278.1,1,14.0,100,7007.71,5620.0,1.246923488
193,1991,DAVAO CITY,1,3.4,23.87,84.63,20.91,956.17,0.16,0.51,24.98,0.45,141.97,75.32,2022.5,1,14.4,100,7110.4,5639.0,1.26093279
194,1992,DAVAO CITY,0,4.0,24.15,81.77,20.5,956.5,0.16,0.63,25.56,0.41,144.3,76.27,1897.5,1,16.9,100,6303.5,5639.0,1.117840043
195,1993,DAVAO CITY,0,4.0,23.77,85.54,21.01,956.3,0.15,0.48,24.87,0.45,137.9,74.85,2742.9,1,9.4,100,6453.1,5644.0,1.143355776
196,1994,DAVAO CITY,11,4.0,23.84,85.09,20.98,956.06,0.15,0.5,24.96,0.45,140.66,73.02,2157.4,1,15.1,100,6542.34,5544.0,1.180075758
197,1995,DAVAO CITY,1,3.4,23.82,85.87,21.13,955.89,0.15,0.47,24.96,0.45,133.94,75.06,2909.4,1,10.4,100,6534.39,5690.0,1.148398946
198,1996,DAVAO CITY,3,2.2,23.74,86.61,21.21,955.29,0.15,0.44,24.91,0.47,128.27,75.82,3161.1,51,10.1,100,6546.79,5610.0,1.16698574
199,1997,DAVAO CITY,1,4.2,23.77,85.33,20.98,956.9,0.15,0.48,24.9,0.46,142.69,71.3,2693.6,1,13.3,100,6600.25,5612.0,1.176095866
200,1998,DAVAO CITY,0,4.0,24.6,81.83,20.94,956.69,0.16,0.64,25.95,0.41,148.88,70.36,2360.2,1,10.8,100,6545.46,5612.0,1.166332858
201,1999,DAVAO CITY,0,4.0,23.6,87.39,21.23,955.21,0.14,0.41,24.75,0.47,116.84,77.95,3532.1,51,10.4,100,6618.91,5612.0,1.179420884
202,2000,DAVAO CITY,11,4.0,23.61,87.64,21.3,955.05,0.14,0.4,24.68,0.47,115.58,79.69,3212.9,1,11.2,100,6738.7,5612.0,1.200766215
203,2001,DAVAO CITY,11,4.0,23.85,86.55,21.31,955.35,0.14,0.45,24.91,0.47,124.5,77.41,2644.6,1,14.0,100,6350.94,5612.0,1.131671418
204,2002,DAVAO CITY,11,4.0,23.94,84.88,21.04,956.11,0.15,0.5,24.98,0.45,143.42,70.88,2177.0,1,19.1,100,6166.21,5331.0,1.156670418
205,2003,DAVAO CITY,11,4.0,23.9,86.04,21.25,956.0,0.15,0.46,24.97,0.46,128.58,75.33,2934.8,1,17.3,100,6154.01,5278.0,1.165973854
206,2004,DAVAO CITY,11,4.0,24.14,84.56,21.18,955.82,0.15,0.52,25.17,0.45,140.93,72.57,2325.8,1,11.9,100,6069.65,5278.0,1.149990527
207,2005,DAVAO CITY,11,4.7,24.1,84.45,21.09,956.11,0.15,0.52,25.24,0.45,128.92,75.6,2636.5,1,11.2,100,6183.35,5229.0,1.182510996
208,2006,DAVAO CITY,11,4.7,24.01,85.29,21.21,955.87,0.15,0.49,25.0,0.46,134.75,73.49,2581.8,1,13.7,100,6127.43,5203.0,1.177672497
209,2007,DAVAO CITY,0,4.0,24.01,85.63,21.27,955.41,0.15,0.48,25.07,0.46,128.9,74.88,3111.8,1,15.1,100,3582.54,5150.0,0.695638835
210,2008,DAVAO CITY,0,4.0,23.74,86.78,21.25,955.36,0.14,0.43,24.83,0.47,123.97,76.84,3201.2,1,10.1,100,3364.51,5150.0,0.653302913
211,2009,DAVAO CITY,11,4.7,24.03,86.23,21.42,955.35,0.15,0.46,25.01,0.47,127.86,75.35,3078.8,1,11.9,100,2938.26,5150.0,0.570535922
212,2010,DAVAO CITY,0,4.0,24.27,84.59,21.31,955.84,0.15,0.52,25.29,0.43,138.41,71.78,2642.7,1,11.5,100,2593.65,4597.0,0.564204916
213,2011,DAVAO CITY,11,4.0,23.78,87.57,21.46,955.06,0.14,0.41,24.85,0.48,112.9,78.96,3670.9,51,12.2,100,2277.7,4237.0,0.537573755
214,2012,DAVAO CITY,11,4.7,23.86,86.73,21.36,955.44,0.14,0.44,24.89,0.48,124.4,75.75,2984.3,1,13.3,100,2093.22,4236.0,0.494150142
215,2013,DAVAO CITY,0,4.0,23.95,86.72,21.45,955.53,0.14,0.44,24.91,0.46,119.76,75.23,3324.4,1,11.2,100,1999.19,4158.0,0.480805676
216,2014,DAVAO CITY,11,4.0,24.05,85.91,21.39,955.81,0.14,0.47,25.04,0.47,126.2,74.73,3261.6,1,9.7,100,1946.99,4156.0,0.468476901
217,2015,DAVAO CITY,4,3.6,24.14,84.66,21.19,956.66,0.15,0.52,25.24,0.44,142.02,69.57,2380.7,1,15.8,100,1882.01,3408.0,0.552232981
218,2016,DAVAO CITY,0,2.9,24.7,83.29,21.41,956.34,0.16,0.59,25.82,0.44,138.43,72.74,2735.1,1,13.3,100,1840.77,3408.0,0.540132042
219,2017,DAVAO CITY,11,4.0,24.15,86.96,21.71,955.72,0.14,0.43,25.15,0.47,111.99,78.03,4017.7,51,11.9,100,1658.09,2770.0,0.598588448
220,2018,DAVAO CITY,11,4.7,24.43,84.41,21.44,955.7,0.15,0.53,25.41,0.46,141.5,71.84,2511.0,1,14.0,100,1601.73,2770.0,0.578241877
221,2019,DAVAO CITY,4,4.1,24.32,83.9,21.2,956.53,0.16,0.55,25.39,0.45,143.96,70.68,2417.2,1,17.3,100,1570.55,2750.0,0.571109091
222,2020,DAVAO CITY,0,4.0,24.37,84.56,21.37,956.22,0.15,0.53,25.47,0.44,135.58,71.39,2884.0,1,10.4,100,1628.22,2750.0,0.59208
223,2021,DAVAO CITY,0,4.0,24.06,86.79,21.57,955.71,0.14,0.44,25.14,0.47,122.08,75.59,3859.9,1,10.8,100,1692.93,2750.0,0.615610909
224,1999,DAVAO DE ORO,1,3.4,22.04,90.19,20.26,904.81,0.13,0.29,23.13,0.48,117.32,75.96,5391.5,3,13.3,100,11117.13,11495.0,0.967127447
225,2000,DAVAO DE ORO,1,3.4,22.16,89.62,20.26,904.69,0.13,0.31,23.15,0.48,115.36,77.49,5032.3,3,14.8,100,13159.67,11650.0,1.129585408
226,2001,DAVAO DE ORO,4,3.6,22.38,88.46,20.26,904.99,0.14,0.35,23.41,0.48,126.57,76.23,4600.5,3,18.4,100,14373.88,11660.0,1.232751286
227,2002,DAVAO DE ORO,4,3.6,22.4,87.3,20.04,905.8,0.15,0.38,23.41,0.47,138.87,71.69,3966.7,3,19.1,100,13462.18,11660.0,1.154560892
228,2003,DAVAO DE ORO,4,3.1,22.36,88.16,20.18,905.68,0.14,0.35,23.39,0.47,125.8,75.3,4773.4,3,16.6,100,13056.48,11543.0,1.131116694
229,2004,DAVAO DE ORO,4,3.1,22.59,86.9,20.16,905.47,0.15,0.4,23.6,0.47,142.28,73.02,3528.2,3,13.7,100,11386.97,11513.0,0.989053244
230,2005,DAVAO DE ORO,4,5.4,22.39,88.14,20.2,905.8,0.14,0.36,23.48,0.48,133.49,73.84,4399.6,3,11.9,100,10703.48,10504.0,1.018990861
231,2006,DAVAO DE ORO,4,3.1,22.46,87.82,20.22,905.54,0.14,0.36,23.45,0.48,133.54,74.13,4133.2,3,18.7,100,10597.11,10189.0,1.04005398
232,2007,DAVAO DE ORO,4,3.6,22.43,88.52,20.31,905.14,0.14,0.35,23.48,0.47,129.84,73.94,4793.2,3,19.4,100,9990.29,10039.0,0.995147923
233,2008,DAVAO DE ORO,1,3.4,22.17,89.58,20.27,905.02,0.14,0.31,23.25,0.48,124.14,75.22,4958.2,3,12.2,100,10078.15,10039.0,1.003899791
234,2009,DAVAO DE ORO,11,2.2,22.63,87.47,20.3,905.02,0.14,0.38,23.55,0.47,129.13,74.5,4851.1,3,15.5,100,10121.33,10039.0,1.008201016
235,2010,DAVAO DE ORO,4,4.1,22.48,89.18,20.48,905.71,0.14,0.33,23.58,0.48,138.03,70.2,4204.9,3,11.5,100,10026.37,10050.0,0.997648756
236,2011,DAVAO DE ORO,4,3.6,22.3,89.71,20.42,904.7,0.14,0.31,23.31,0.49,116.19,77.88,5674.8,3,16.9,100,8519.08,10000.0,0.851908
237,2012,DAVAO DE ORO,4,3.6,22.42,88.45,20.3,905.13,0.14,0.35,23.43,0.48,126.15,74.73,4941.6,3,20.5,100,7492.23,9950.0,0.75298794
238,2013,DAVAO DE ORO,4,5.9,22.44,88.99,20.42,905.27,0.14,0.33,23.45,0.48,121.66,74.84,5124.1,3,17.3,100,1824.5,7276.0,0.25075591
239,2014,DAVAO DE ORO,4,4.1,22.48,88.48,20.36,905.46,0.14,0.35,23.47,0.48,129.28,74.1,5374.6,3,13.0,100,1311.58,7126.0,0.184055571
240,2015,DAVAO DE ORO,4,4.6,22.52,87.42,20.19,906.36,0.15,0.38,23.6,0.47,148.06,68.45,4017.2,3,22.7,100,1242.65,4560.0,0.272510965
241,2016,DAVAO DE ORO,4,4.1,22.9,87.58,20.59,906.22,0.15,0.39,23.96,0.47,138.09,73.09,4120.5,3,14.4,100,1226.57,4481.0,0.273726847
242,2017,DAVAO DE ORO,4,3.1,22.57,89.83,20.72,905.47,0.14,0.31,23.59,0.49,116.91,76.18,5840.3,3,11.9,100,1120.03,4266.0,0.262548054
243,2018,DAVAO DE ORO,4,3.1,22.9,86.52,20.37,905.48,0.15,0.42,23.93,0.47,141.46,72.3,3746.8,3,18.0,100,1162.29,4271.0,0.272135331
244,2019,DAVAO DE ORO,4,4.1,22.74,86.5,20.21,906.32,0.15,0.41,23.8,0.46,146.8,70.51,3834.8,3,14.8,100,1166.99,4271.0,0.273235776
245,2020,DAVAO DE ORO,4,3.1,22.81,88.47,20.67,906.15,0.15,0.35,23.85,0.48,136.01,71.05,4430.7,3,15.1,100,1143.38,4271.0,0.267707797
246,2021,DAVAO DE ORO,4,3.1,22.73,88.89,20.68,905.51,0.14,0.34,23.74,0.48,126.94,73.64,5318.8,3,13.0,100,1011.88,4271.0,0.236918754
247,1990,DAVAO DEL NORTE,3,10.1,26.15,81.91,22.59,1003.8,0.16,0.68,26.77,0.42,138.85,72.27,833.0,1,20.5,100,11718.27,12280.0,0.954256515
248,1991,DAVAO DEL NORTE,3,10.5,26.03,81.87,22.49,1004.08,0.16,0.67,26.51,0.43,133.21,76.08,845.4,1,18.0,100,11999.41,12284.0,0.976832465
249,1992,DAVAO DEL NORTE,3,4.0,26.47,78.1,21.99,1004.41,0.17,0.86,27.34,0.39,137.05,76.14,954.1,1,20.9,100,11997.91,12288.0,0.976392415
250,1993,DAVAO DEL NORTE,3,4.7,25.94,82.47,22.52,1004.23,0.15,0.65,26.42,0.44,129.63,74.43,1056.9,1,7.2,100,11850.15,12303.0,0.963191904
251,1994,DAVAO DEL NORTE,3,8.0,25.99,82.45,22.55,1003.88,0.16,0.66,26.51,0.45,134.03,73.35,1008.3,1,19.8,100,12723.66,12312.0,1.033435673
252,1995,DAVAO DEL NORTE,3,9.4,25.89,83.29,22.65,1003.85,0.15,0.62,26.46,0.43,123.38,74.9,1225.7,1,18.7,100,12888.9,12349.0,1.043720139
253,1996,DAVAO DEL NORTE,0,4.0,25.77,84.18,22.72,1003.14,0.15,0.58,26.35,0.47,119.08,75.66,1743.9,1,6.5,100,12570.29,12344.0,1.018331983
254,1997,DAVAO DEL NORTE,3,7.6,26.01,81.72,22.43,1004.86,0.16,0.68,26.43,0.42,137.86,69.9,1165.3,1,18.7,100,12085.42,12484.0,0.968072733
255,1998,DAVAO DEL NORTE,3,7.6,26.86,78.13,22.35,1004.59,0.16,0.87,27.77,0.35,134.32,71.8,1212.5,1,19.8,100,11796.03,12484.0,0.944891862
256,1999,DAVAO DEL NORTE,3,4.0,25.5,85.5,22.74,1003.08,0.13,0.52,26.21,0.45,104.45,77.06,2133.9,1,7.6,100,597.48,605.0,0.987570248
257,2000,DAVAO DEL NORTE,3,4.0,25.61,85.37,22.82,1002.88,0.14,0.53,26.11,0.47,104.71,78.2,1683.6,1,7.2,100,662.58,609.0,1.087980296
258,2001,DAVAO DEL NORTE,3,7.6,26.06,83.02,22.76,1003.1,0.15,0.64,26.47,0.44,116.26,77.33,1185.9,1,6.5,100,664.57,621.0,1.070161031
259,2002,DAVAO DEL NORTE,3,10.1,25.95,82.97,22.65,1003.99,0.15,0.63,26.38,0.45,132.02,72.0,972.5,1,7.2,100,653.09,625.0,1.044944
260,2003,DAVAO DEL NORTE,3,4.0,25.91,83.44,22.72,1003.86,0.15,0.61,26.38,0.46,118.95,75.29,1159.0,1,7.9,100,679.69,627.0,1.084035088
261,2004,DAVAO DEL NORTE,3,6.5,26.36,81.11,22.64,1003.55,0.16,0.72,26.72,0.43,133.77,73.75,884.5,1,8.6,100,683.27,634.0,1.077712934
262,2005,DAVAO DEL NORTE,3,4.0,26.38,80.26,22.44,1003.96,0.15,0.76,27.04,0.39,122.1,74.77,1239.4,1,7.2,100,664.64,624.0,1.065128205
263,2006,DAVAO DEL NORTE,3,8.0,26.09,83.05,22.81,1003.66,0.15,0.63,26.48,0.45,125.57,74.4,1191.0,1,6.5,100,639.98,612.0,1.045718954
264,2007,DAVAO DEL NORTE,3,8.0,26.15,82.5,22.72,1003.22,0.15,0.66,26.61,0.44,118.28,75.2,1374.7,1,16.6,100,626.33,598.0,1.047374582
265,2008,DAVAO DEL NORTE,3,4.0,25.8,84.03,22.72,1003.21,0.14,0.59,26.29,0.47,112.44,75.77,1592.7,1,7.6,100,611.89,588.0,1.040629252
266,2009,DAVAO DEL NORTE,3,4.0,26.15,83.05,22.87,1003.03,0.15,0.64,26.47,0.46,120.57,74.92,1588.4,1,7.9,100,598.8,584.0,1.025342466
267,2010,DAVAO DEL NORTE,3,8.0,26.32,82.03,22.79,1003.75,0.15,0.68,26.76,0.42,122.33,72.08,1483.5,1,6.8,100,601.06,580.0,1.036310345
268,2011,DAVAO DEL NORTE,3,7.6,25.78,85.07,22.94,1002.83,0.14,0.55,26.27,0.48,104.16,78.48,1752.2,1,7.2,100,609.57,586.0,1.040221843
269,2012,DAVAO DEL NORTE,3,9.4,25.98,83.7,22.84,1003.22,0.14,0.6,26.37,0.47,114.88,75.25,1374.3,1,17.6,100,613.56,591.0,1.038172589
270,2013,DAVAO DEL NORTE,3,7.6,26.04,83.77,22.91,1003.33,0.14,0.6,26.41,0.45,109.04,75.37,1835.2,1,6.8,100,603.14,598.0,1.008595318
271,2014,DAVAO DEL NORTE,3,4.0,26.03,83.74,22.89,1003.57,0.15,0.6,26.46,0.46,119.56,74.77,1703.9,1,7.6,100,611.7,636.0,0.961792453
272,2015,DAVAO DEL NORTE,3,7.6,26.28,81.67,22.66,1004.54,0.16,0.69,26.9,0.43,137.82,69.48,1541.7,1,20.2,100,621.66,643.0,0.96681182
273,2016,DAVAO DEL NORTE,3,5.8,26.74,81.01,22.97,1004.11,0.16,0.74,27.23,0.43,127.81,73.64,1197.9,1,6.8,100,650.74,674.0,0.965489614
274,2017,DAVAO DEL NORTE,3,7.6,26.15,84.37,23.14,1003.48,0.14,0.58,26.59,0.46,105.42,76.95,2100.7,1,7.6,100,668.71,695.0,0.962172662
275,2018,DAVAO DEL NORTE,3,7.6,26.78,80.03,22.79,1003.35,0.16,0.78,27.09,0.42,133.55,72.79,970.4,1,8.6,100,672.9,699.0,0.962660944
276,2019,DAVAO DEL NORTE,3,10.1,26.73,79.03,22.52,1004.36,0.16,0.82,27.1,0.43,137.27,71.7,1311.4,1,8.6,100,691.7,693.14,0.997922498
277,2020,DAVAO DEL NORTE,3,4.0,26.6,81.02,22.82,1004.07,0.15,0.74,27.16,0.42,123.54,72.19,1354.6,1,7.2,100,675.72,690.0,0.979304348
278,2021,DAVAO DEL NORTE,3,4.0,26.27,83.34,23.03,1003.46,0.14,0.63,26.77,0.45,115.33,74.51,1899.8,1,6.8,100,647.38,682.0,0.949237537
279,1990,DAVAO DEL SUR,11,4.0,25.755000000000003,82.1575,22.1475,983.975,0.16,0.6775,26.74,0.41,150.065,71.12,1935.7,1,11.2,100,10031.99,7090.0,1.414949224
280,1991,DAVAO DEL SUR,1,3.4,25.6225,82.335,22.0775,984.195,0.16,0.665,26.58,0.425,144.385,74.9,1721.8,1,12.6,100,9580.59,7070.0,1.355104668
281,1992,DAVAO DEL SUR,0,4.0,25.7875,80.29249999999999,21.7075,984.5,0.17,0.7575,27.085,0.395,144.65,76.94,1807.75,1,13.3,100,9384.57,6825.0,1.375028571
282,1993,DAVAO DEL SUR,0,4.0,25.335,84.42750000000001,22.2875,984.3475,0.16,0.5725,26.1575,0.445,138.98000000000002,75.13,2295.25,1,11.9,100,8630.43,6625.0,1.302706415
283,1994,DAVAO DEL SUR,11,4.0,25.365,83.8125,22.1875,984.1225,0.16,0.595,26.225,0.43,142.95,72.905,2041.65,1,11.2,100,8345.48,6120.0,1.363640523
284,1995,DAVAO DEL SUR,0,4.0,25.525,83.5975,22.24,983.92,0.16,0.615,26.4975,0.43,135.41,74.89,2560.4,1,10.1,100,8482.11,5600.0,1.5146625
285,1996,DAVAO DEL SUR,3,1.8,25.085,86.3525,22.465,983.3225,0.15,0.495,26.04,0.455,129.33999999999995,76.035,3052.4,51,12.6,100,6527.05,5120.0,1.274814453
286,1997,DAVAO DEL SUR,0,4.0,25.3475,84.3475,22.305,984.9725,0.16,0.5675,26.1875,0.4475,142.175,72.24000000000001,2228.4,1,12.2,100,6160.99,4690.0,1.313643923
287,1998,DAVAO DEL SUR,0,4.0,26.1425,80.7925,22.1125,984.6175,0.17,0.7625,27.57,0.4075,150.785,70.02000000000001,2161.4,1,12.2,100,5279.59,4220.0,1.251087678
288,1999,DAVAO DEL SUR,0,4.0,24.86,87.4675,22.48,983.2675,0.14,0.445,25.8675,0.4674999999999999,118.965,78.22,3590.2000000000003,1,11.9,100,4814.91,3800.0,1.267081579
289,2000,DAVAO DEL SUR,0,4.0,24.9425,87.195,22.51,983.1025,0.145,0.4549999999999999,25.83,0.4649999999999999,118.175,79.965,3091.75,1,10.4,100,3596.55,4203.0,0.855710207
290,2001,DAVAO DEL SUR,11,4.0,25.175,86.3375,22.555,983.39,0.15,0.4925,26.03,0.4649999999999999,127.685,77.265,2535.85,1,10.4,100,3815.85,3800.0,1.004171053
