,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
357,2000,CAMIGUIN,57.13,46.0,1.2419565217391304
358,2000,LANAO DEL NORTE,137.6,283.0,0.4862190812720848
359,2000,MISAMIS OCCIDENTAL,6.34,97.0,0.06536082474226804
360,2000,MISAMIS ORIENTAL,320.34,390.0,0.8213846153846153
362,2000,DAVAO DE ORO,13159.67,11650.0,1.1295854077253218
363,2000,DAVAO DEL NORTE,662.58,609.0,1.0879802955665026
364,2000,DAVAO DEL SUR,3596.55,4203.0,0.8557102069950037
365,2000,DAVAO OCCIDENTAL,0.0,0.0,
366,2000,DAVAO ORIENTAL,1343.52,1505.0,0.8927043189368771
367,2000,CITY OF DAVAO,6738.7,5612.0,1.2007662152530292
369,2000,COTABATO,834.52,1926.0,0.43329179646936655
370,2000,SARANGANI,153.7,144.0,1.067361111111111
371,2000,SULTAN KUDARAT,5209.39,10668.0,0.48831927259092617
372,2000,SOUTH COTABATO,1667.58,1040.0,1.6034423076923077
374,2000,AGUSAN DEL NORTE,266.77,214.0,1.246588785046729
375,2000,AGUSAN DEL SUR,382.61,1450.0,0.26386896551724137
376,2000,DINAGAT ISLANDS,0.0,0.0,
377,2000,SURIGAO DEL NORTE,10.0,20.0,0.5
378,2000,SURIGAO DEL SUR,3163.42,2650.0,1.1937433962264152
380,2000,BASILAN,1884.64,2907.0,0.6483109735122119
381,2000,LANAO DEL SUR,209.33,1972.0,0.10615111561866127
382,2000,MAGUINDANAO,3352.09,3425.0,0.9787124087591241
383,2000,SULU,2534.44,1015.0,2.4969852216748767
384,2000,TAWI-TAWI,0.0,0.0,
386,2001,ZAMBOANGA DEL NORTE,155.59,163.0,0.9545398773006135
387,2001,ZAMBOANGA DEL SUR,103.27,136.0,0.7593382352941176
388,2001,ZAMBOANGA SIBUGAY,35.52,53.0,0.670188679245283
389,2001,CITY OF ZAMBOANGA,68.0,85.0,0.8
391,2001,BUKIDNON,4714.95,10750.0,0.4386
