year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
2007, Basilan,1,26.32398401826484,84.12808219178082,23.387043378995433,0.2395091324200913,1000.0357420091324,54.43835616438356,0.16169520547945207,0.5565285388127853,7.928059360730594,190.3955479452055,17.658744292237444,27.363333333333333,0.1673810502283105,151.68641552511414,75.06849315068493
2008, Basilan,51,26.122324681238617,84.5860655737705,23.288592896174862,0.29351092896174863,999.9580714936247,57.25796903460838,0.15756489071038252,0.5325216302367942,7.47528460837887,179.90368852459017,16.831432149362477,27.29478597449909,0.19407957650273225,145.21983151183971,77.17611566484517
2009, Basilan,1,26.4051598173516,84.2986301369863,23.505102739726027,0.20811643835616436,1000.04198630137,51.06780821917808,0.16327853881278537,0.5513401826484018,8.165867579908676,195.75913242009133,17.934908675799086,27.331141552511415,0.1802041095890411,153.1214611872146,76.41940639269406
2010, Basilan,1,26.741735159817352,82.2351598173516,23.393230593607306,0.2659246575342466,1000.2939726027396,52.77739726027397,0.16737328767123288,0.6422020547945205,6.686472602739726,176.85856164383563,16.423698630136986,28.248721461187213,0.1523211187214612,158.4035388127854,72.27602739726028
2011, Basilan,1,26.21025114155251,85.03869863013699,23.46698630136986,0.3098059360730594,999.6958675799087,58.42328767123288,0.15454223744292236,0.5183995433789955,7.918424657534246,189.8618721461187,17.850867579908677,27.291735159817353,0.19695616438356164,136.51495433789955,81.20353881278538
2012, Basilan,1,26.264207650273224,84.79633424408014,23.469558287795994,0.2647882513661202,1000.0649362477232,54.571493624772316,0.15901639344262294,0.5294250910746813,7.853927595628415,189.88934426229508,17.82318989071038,27.322199453551914,0.18946117941712204,148.60245901639345,76.305441712204
2013, Basilan,1,26.356700913242012,84.64509132420092,23.52552511415525,0.28728310502283105,1000.1760844748859,56.47557077625571,0.1581107305936073,0.5390171232876713,8.061130136986302,190.21529680365296,17.547374429223744,27.31521689497717,0.18594452054794522,145.70228310502284,75.41598173515982
2014, Basilan,1,26.395616438356164,83.49292237442923,23.3215296803653,0.19784246575342465,1000.5987328767123,50.27625570776256,0.16664497716894977,0.5812111872146118,8.275308219178083,204.57271689497716,17.790958904109587,27.292762557077626,0.17291392694063928,158.66278538812784,74.02511415525115
2015, Basilan,1,26.661175799086756,81.69748858447488,23.199520547945205,0.15496575342465754,1001.3899200913241,45.76426940639269,0.17431050228310502,0.6573972602739726,8.08566210045662,195.22899543378995,17.91849315068493,27.559098173515984,0.12980867579908675,172.012100456621,69.78607305936073
2016, Basilan,1,26.88021402550091,82.59722222222223,23.595935792349728,0.23932149362477229,1000.8935906193079,49.666666666666664,0.17031876138433516,0.635103597449909,7.189321493624773,201.55623861566485,16.845275500910745,28.0923383424408,0.15728369763205827,163.97711748633878,71.73747723132969
2017, Basilan,1,26.457020547945206,84.70091324200914,23.6350799086758,0.2995776255707763,1000.3488127853881,56.42134703196347,0.15646347031963473,0.5388287671232878,7.925947488584475,194.9675799086758,17.582842465753426,27.52625570776256,0.19367180365296804,140.65844748858447,77.97922374429224
2018, Basilan,1,26.61480593607306,83.70593607305936,23.585821917808218,0.2003082191780822,1000.3775684931506,48.7351598173516,0.16727625570776256,0.5807762557077626,8.094349315068493,205.18116438356165,17.7573401826484,27.583607305936074,0.16459817351598174,161.2686073059361,72.79417808219178
2019, Basilan,1,26.93744292237443,80.09543378995434,23.123242009132422,0.14328767123287672,1001.200810502283,43.869977168949774,0.1787865296803653,0.7283607305936073,8.006997716894977,192.07796803652968,17.75357305936073,27.95738584474886,0.12774748858447488,175.20890410958904,69.07157534246575
2020, Basilan,1,26.923690801457195,81.22700364298726,23.345264116575592,0.2528346994535519,1000.7666438979962,50.23178506375228,0.16735200364298725,0.6881466302367942,7.296288706739526,189.63570127504553,17.002629781420765,28.20426912568306,0.15297791438979963,156.6186247723133,71.03119307832422
2021, Basilan,1,26.58542237442922,83.73915525114155,23.56678082191781,0.2796917808219178,1000.3408333333332,53.162100456621005,0.1603082191780822,0.5778984018264841,7.84818493150685,198.03082191780823,17.17054794520548,27.705342465753425,0.18033755707762558,145.93938356164384,76.58995433789954
2022, Basilan,51,26.50183789954338,83.89372146118721,23.516997716894977,0.32335616438356163,1000.018105022831,56.95913242009132,0.15739497716894976,0.5694566210045662,7.731050228310503,194.53276255707763,16.094246575342467,27.59478310502283,0.1871335616438356,139.6058219178082,78.78858447488585
1990, Lanao del Sur,1,21.517888127853883,88.01541095890411,19.295296803652967,0.33159817351598175,897.3424429223744,64.56746575342466,0.14523744292237442,0.3426449771689498,5.334303652968036,153.2796803652968,20.847340182648402,23.0312899543379,0.3788494292237443,146.4775114155251,68.11415525114155
1991, Lanao del Sur,3,21.343801369863016,88.72842465753425,19.270091324200912,0.3256963470319635,897.4827853881279,66.32248858447488,0.1449041095890411,0.31799771689497713,5.26453196347032,141.2716894977169,20.141004566210047,22.90793378995434,0.39769520547945203,143.76027397260273,71.83219178082192
1992, Lanao del Sur,1,21.39689207650273,87.73576958105646,19.1077868852459,0.31205601092896174,897.7465391621129,62.99157559198543,0.1471243169398907,0.3501605191256831,4.993180783242258,141.67816484517303,19.704815573770492,22.961145264116578,0.3725903916211293,145.17304189435336,72.12033242258651
1993, Lanao del Sur,3,21.276278538812786,89.51563926940639,19.359303652968038,0.42575342465753424,897.5847945205479,70.56826484018265,0.14150456621004565,0.29416780821917804,4.479794520547945,145.95810502283106,18.054200913242006,22.786438356164386,0.40519874429223746,138.098401826484,71.32625570776256
1994, Lanao del Sur,3,21.238173515981735,89.39646118721461,19.298961187214612,0.35755707762557076,897.3670319634704,68.68470319634703,0.14038926940639268,0.29690068493150684,5.220730593607306,153.94737442922374,20.699509132420093,22.72093607305936,0.4014228310502283,139.364497716895,70.10479452054794
