,Year,Location,Production (mt),Area (ha),Yield (mt/ha),weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
68,1992,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,26.98851320582878,81.36771402550092,23.45777550091075,0.2220969945355191,1009.7868397085608,52.46835154826958,0.1601616575591985,0.6794193989071039,5.108652094717669,163.72620673952642,15.681352459016392,29.573235428051,0.4098107923497268,145.15107012750457,76.91495901639344
69,1993,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,26.9049200913242,82.15787671232877,23.54883561643836,0.2685388127853881,1009.6586986301368,56.28972602739726,0.156310502283105,0.6460787671232876,5.048401826484018,163.50125570776257,15.298915525114156,29.21663242009133,0.4253300228310502,139.7107305936073,76.88755707762557
70,1994,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,26.891906392694064,82.3167808219178,23.570456621004567,0.2886986301369863,1009.4546575342466,58.8162100456621,0.1548413242009132,0.6408732876712329,5.003116438356165,163.4307077625571,15.705410958904109,29.00730593607306,0.4381759132420091,140.25947488584475,74.64954337899543
71,1995,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,27.020228310502283,82.15490867579909,23.659794520547944,0.3514383561643835,1009.1716324200912,58.7912100456621,0.1553869863013698,0.6514760273972603,4.919497716894978,160.80502283105022,15.042374429223743,29.387157534246576,0.4274059360730594,139.3472602739726,75.16506849315068
72,1996,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,51,26.87349726775956,82.53494990892531,23.596846539162115,0.3535405282331512,1008.5908697632058,62.6875,0.1505885701275045,0.6302903005464481,5.331728142076503,173.7629781420765,14.971926229508195,28.863000910746813,0.4621648451730419,129.42873406193078,77.34335154826958
73,1997,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,26.9638698630137,81.27591324200914,23.420433789954338,0.2638584474885845,1010.2958333333332,56.05365296803653,0.1608401826484018,0.6807283105022831,5.207796803652968,149.58607305936073,15.625924657534249,29.03509132420092,0.4383490867579909,149.5398401826484,73.06906392694064
74,1998,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,27.52340182648402,81.0425799086758,23.90615296803653,0.2858561643835616,1009.7242351598176,52.90285388127854,0.1632442922374429,0.7152922374429224,4.663892694063927,163.22351598173515,14.81615296803653,30.28231735159817,0.4180744292237442,151.53150684931506,72.34463470319635
75,1999,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,51,26.79712328767123,83.07043378995434,23.637568493150685,0.4196575342465753,1008.4959474885844,65.36872146118722,0.1450970319634703,0.609755707762557,5.0071004566210044,165.76883561643837,15.58546803652968,28.70341324200913,0.4733705479452054,120.3656392694064,79.42397260273972
76,2000,ZAMBOANGA SIBUGAY,33.94,53.0,0.640377358490566,1,26.883173952641165,83.18237704918033,23.746322859745,0.3861566484517304,1008.3251138433516,62.94933970856102,0.148221766848816,0.6081318306010929,4.930555555555555,171.09073315118397,15.456785063752276,28.79076730418944,0.4660102459016393,126.27527322404372,78.74271402550092
77,2001,ZAMBOANGA SIBUGAY,35.52,53.0,0.670188679245283,1,26.9675,82.83367579908676,23.75723744292237,0.3324771689497717,1008.6473515981736,60.56917808219178,0.151093607305936,0.6237465753424658,5.175239726027397,165.3664383561644,15.953116438356163,28.913504566210044,0.4609390410958904,131.42945205479452,77.27648401826484
