,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
393,SOUTHERN LEYTE,1998,24,25,0.96
394,ABRA,1999,7,5,1.4
395,APAYAO,1999,33,62,0.532258065
396,BENGUET,1999,73,61,1.196721311
397,IFUGAO,1999,1269,2516,0.504372019
398,KALINGA,1999,2840,2433,1.167283189
399,MOUNTAIN PROVINCE,1999,460,1204,0.382059801
400,ILOCOS NORTE,1999,1,8,0.125
401,ILOCOS SUR,1999,29,54,0.537037037
402,LA UNION,1999,7,5,1.4
403,PANGASINAN,1999,2,2,1
404,CAGAYAN,1999,8,55,0.145454545
405,ISABELA,1999,231,201,1.149253731
406,NUEVA VIZCAYA,1999,793,1657,0.478575739
407,QUIRINO,1999,337,526,0.640684411
408,AURORA,1999,356,857,0.415402567
409,BATAAN,1999,293,330,0.887878788
410,BULACAN,1999,1320,600,2.2
411,PAMPANGA,1999,1,4,0.25
412,BATANGAS,1999,2098,2911,0.720714531
413,CAVITE,1999,6064,7730,0.784476067
414,LAGUNA,1999,249,698,0.356733524
415,QUEZON,1999,298,563,0.529307282
416,RIZAL,1999,114,48,2.375
417,MARINDUQUE,1999,4,8,0.5
418,ORIENTAL MINDORO,1999,107,155,0.690322581
419,PALAWAN,1999,55,350,0.157142857
420,ROMBLON,1999,0.3,7,0.042857143
421,ALBAY,1999,127,300,0.423333333
422,CAMARINES NORTE,1999,97,74,1.310810811
423,CAMARINES SUR,1999,126,342,0.368421053
424,SORSOGON,1999,251,366,0.68579235
425,AKLAN,1999,11,55,0.2
426,ANTIQUE,1999,27,26,1.038461538
427,CAPIZ,1999,1805,2060,0.876213592
428,GUIMARAS,1999,2,19,0.105263158
429,ILOILO,1999,2024,3844,0.52653486
430,NEGROS OCCIDENTAL,1999,991,1967,0.503812913
431,BOHOL,1999,12,21,0.571428571
432,CEBU,1999,6,11,0.545454545
433,NEGROS ORIENTAL,1999,561,821,0.683313033
434,BILIRAN,1999,2,1,2
435,EASTERN SAMAR,1999,2,1,2
436,LEYTE,1999,18,26,0.692307692
437,SAMAR,1999,3,5,0.6
438,SOUTHERN LEYTE,1999,12,24,0.5
439,ABRA,2000,7,5,1.4
440,APAYAO,2000,47,62,0.758064516
441,BENGUET,2000,72,61,1.180327869
442,IFUGAO,2000,1297,2516,0.515500795
443,KALINGA,2000,3111,2735,1.137477148
444,MOUNTAIN PROVINCE,2000,460,1205,0.381742739
445,ILOCOS NORTE,2000,1,8,0.125
446,ILOCOS SUR,2000,29,54,0.537037037
447,LA UNION,2000,7,5,1.4
448,PANGASINAN,2000,2,2,1
449,CAGAYAN,2000,7,55,0.127272727
450,ISABELA,2000,185,192,0.963541667
451,NUEVA VIZCAYA,2000,793,1657,0.478575739
452,QUIRINO,2000,336,526,0.63878327
453,AURORA,2000,252,600,0.42
454,BATAAN,2000,313,590,0.530508475
455,BULACAN,2000,1450,580,2.5
456,PAMPANGA,2000,0.5,4,0.125
457,BATANGAS,2000,1821,2920,0.623630137
458,CAVITE,2000,5634,7700,0.731688312
459,LAGUNA,2000,236,696,0.33908046
460,QUEZON,2000,320,578,0.553633218
461,RIZAL,2000,116,45,2.577777778
462,MARINDUQUE,2000,5,8,0.625
463,ORIENTAL MINDORO,2000,94,144,0.652777778
464,PALAWAN,2000,64,430,0.148837209
465,ROMBLON,2000,0.4,7,0.057142857
466,ALBAY,2000,47,240,0.195833333
467,CAMARINES NORTE,2000,42,49,0.857142857
468,CAMARINES SUR,2000,48,163,0.294478528
469,SORSOGON,2000,228,354,0.644067797
470,AKLAN,2000,11,35,0.314285714
471,ANTIQUE,2000,27,27,1
472,CAPIZ,2000,1822,2060,0.884466019
473,GUIMARAS,2000,2,19,0.105263158
474,ILOILO,2000,2265,3844,0.589229969
475,NEGROS OCCIDENTAL,2000,993,1967,0.50482969
476,BOHOL,2000,11,22,0.5
477,CEBU,2000,6,11,0.545454545
478,NEGROS ORIENTAL,2000,572,813,0.703567036
479,BILIRAN,2000,2,1,2
480,EASTERN SAMAR,2000,2,1,2
481,LEYTE,2000,19,26,0.730769231
482,SAMAR,2000,3,5,0.6
483,SOUTHERN LEYTE,2000,24,42,0.571428571
484,ABRA,2001,7,5,1.4
485,APAYAO,2001,47,62,0.758064516
486,BENGUET,2001,70,61,1.147540984
487,IFUGAO,2001,1206,2367,0.509505703
488,KALINGA,2001,4306,2625,1.640380952
489,MOUNTAIN PROVINCE,2001,450,1205,0.373443983
490,ILOCOS NORTE,2001,1,8,0.125
491,ILOCOS SUR,2001,28,54,0.518518519
492,LA UNION,2001,7,5,1.4
493,PANGASINAN,2001,2,2,1
494,CAGAYAN,2001,8,55,0.145454545
495,ISABELA,2001,190,185,1.027027027
496,NUEVA VIZCAYA,2001,929,1657,0.56065178
497,QUIRINO,2001,333,527,0.631878558
498,AURORA,2001,239,600,0.398333333
499,BATAAN,2001,339,590,0.574576271
500,BULACAN,2001,1400,560,2.5
501,PAMPANGA,2001,0.5,4,0.125
502,BATANGAS,2001,1841,2920,0.630479452
503,CAVITE,2001,8058,7700,1.046493506
504,LAGUNA,2001,222,690,0.32173913
505,QUEZON,2001,338,578,0.584775087
506,RIZAL,2001,72,46,1.565217391
507,MARINDUQUE,2001,5,12,0.416666667
508,ORIENTAL MINDORO,2001,80,125,0.64
509,PALAWAN,2001,38,450,0.084444444
510,ROMBLON,2001,0.4,7,0.057142857
511,ALBAY,2001,61,195,0.312820513
512,CAMARINES NORTE,2001,28,35,0.8
513,CAMARINES SUR,2001,42,130,0.323076923
514,SORSOGON,2001,244,354,0.689265537
515,AKLAN,2001,11,35,0.314285714
516,ANTIQUE,2001,27,27,1
517,CAPIZ,2001,1864,2060,0.904854369
518,GUIMARAS,2001,2,19,0.105263158
519,ILOILO,2001,2212,3844,0.575442248
520,NEGROS OCCIDENTAL,2001,944,1967,0.479918658
521,BOHOL,2001,9,22,0.409090909
522,CEBU,2001,6,11,0.545454545
523,NEGROS ORIENTAL,2001,553,808,0.684405941
524,BILIRAN,2001,2,1,2
525,EASTERN SAMAR,2001,2,1,2
526,LEYTE,2001,22,26,0.846153846
527,SAMAR,2001,6,8,0.75
528,SOUTHERN LEYTE,2001,26,45,0.577777778
529,ABRA,2002,7,5,1.4
530,APAYAO,2002,46,60,0.766666667
531,BENGUET,2002,69,61,1.131147541
532,IFUGAO,2002,1127,2491,0.452428743
533,KALINGA,2002,3714,2625,1.414857143
534,MOUNTAIN PROVINCE,2002,450,1205,0.373443983
535,ILOCOS NORTE,2002,1,8,0.125
536,ILOCOS SUR,2002,27,54,0.5
537,LA UNION,2002,8,5,1.6
538,PANGASINAN,2002,2,2,1
