,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
285,983.3225,76.035,3052.4,12.6,1.274814453
286,984.9725,72.24000000000001,2228.4,12.2,1.313643923
287,984.6175,70.02000000000001,2161.4,12.2,1.251087678
288,983.2675,78.22,3590.2000000000003,11.9,1.267081579
289,983.1025,79.965,3091.75,10.4,0.855710207
290,983.39,77.265,2535.85,10.4,1.004171053
291,984.1475,71.06,1933.55,14.4,1.159934596
292,984.0375,75.59,2624.45,16.2,1.138141136
293,983.8325,72.37,2029.55,12.2,1.106963855
294,984.1125,76.125,2401.4,9.7,1.103597246
295,983.9025,73.66999999999999,2362.05,12.6,1.062557659
296,983.4075,75.11,2761.3,14.4,1.053512195
297,983.3875,76.9,3121.25,9.7,1.024047619
298,983.3575,76.03999999999999,2553.0,13.3,1.027972689
299,983.7875,71.58500000000001,2504.25,10.8,0.932860644
300,983.0825,79.805,3512.1000000000004,10.4,0.939996499
301,983.4725,75.875,2841.6000000000004,12.6,0.944541317
302,983.555,75.21000000000001,3226.35,13.7,0.94804972
303,983.8275,75.03,2816.95,11.9,0.977689917
304,984.6825,70.13499999999999,2077.35,12.6,1.010348757
305,984.27,72.99000000000001,2507.0,11.5,0.983812155
306,983.715,78.37,3513.7,11.5,0.943639503
307,983.6525,71.94,2318.9,13.0,0.964867012
308,984.485,70.745,1989.9,11.2,0.959101393
309,984.1675,71.435,2667.7,10.8,1.078835578
310,983.7125,76.11500000000001,3336.3500000000004,9.0,1.150386933
311,1008.46,68.46,2101.5,22.0,1.038589041
312,1008.77,72.78,1907.4,20.9,1.037508328
313,1009.14,72.7,1910.6,22.3,1.057144763
314,1008.91,70.41,2100.4,22.81534136892156,1.037256875
315,1008.53,70.01,2266.7,22.81534136892156,1.016857721
316,1008.54,70.05,2156.9,20.5,1.002292517
317,1007.77,71.94,2769.0,17.6,0.93037112
318,1009.52,66.8,2182.5,22.81534136892156,0.86896852
319,1009.42,66.43,1726.3,18.7,0.871580363
320,1007.7,73.25,2779.8,22.81534136892156,0.883740815
321,1007.52,74.86,2878.6,17.3,0.892704319
322,1007.73,72.98,2874.0,16.9,0.907092105
323,1008.61,68.84,2286.7,22.3,0.897746386
324,1008.49,72.71,2653.7,14.0,0.901931669
325,1008.17,69.63,1801.1,19.4,0.905
326,1008.61,70.92,2481.0,18.7,0.907203947
327,1008.3,71.11,2549.6,22.3,0.906578249
328,1007.88,70.6,2670.8,22.7,0.890485695
329,1007.89,72.73,2362.4,20.9,0.885605351
330,1007.63,72.16,3221.6,15.8,0.865558528
331,1008.49,66.69,1836.1,20.5,0.853712375
332,1007.44,75.41,3106.1,22.0,0.841508043
333,1007.88,72.53,2658.5,19.4,0.822086428
334,1007.98,71.89,2964.9,20.2,1.021817399
335,1008.16,71.29,3310.6,15.8,0.97032967
336,1009.19,65.45,2356.8,22.3,0.949628064
337,1008.84,70.05,2325.3,19.1,0.942782019
338,1008.13,73.6,3171.4,15.8,0.916444264
339,1008.02,69.14,2317.8,16.9,0.916043867
340,1009.06,67.0,2088.6,22.81534136892156,0.897887896
341,1008.8,67.5,2061.3,19.4,0.880299838
342,1008.11,70.85,2711.4,10.8,0.861685575
343,956.53,69.29,2113.6,9.7,0.204188679
344,956.72,72.91,2098.1,11.2,0.20005
345,957.01,73.21,1904.7,9.7,0.19735
346,956.86,72.64,2755.6,10.1,0.1982
347,956.63,70.86,2347.5,10.1,0.199842105
348,956.44,70.62,3700.7,9.4,0.202315789
349,955.85,72.66,4125.9,8.6,0.400744681
350,957.48,67.6,2489.3,9.4,0.320212766
351,957.05,66.78,3056.2,11.2,0.314574468
352,955.72,73.81,4945.2,9.7,0.68245
353,955.57,73.42,4134.7,11.2,0.486219081
354,955.88,73.09,3049.7,11.5,0.511908127
355,956.7,69.18,2213.8,11.2,0.412972222
356,956.63,72.86,2891.0,8.6,0.413239437
357,956.41,71.3,2464.7,8.6,0.411605634
358,956.67,71.54,3303.9,10.4,0.26717284
359,956.39,71.6,2703.9,9.7,0.263345679
360,955.93,71.89,3627.6,9.4,0.279691358
361,955.82,73.13,4283.9,10.1,0.279301746
362,955.91,71.49,3375.7,10.1,0.286034913
363,956.31,68.87,4177.9,10.1,0.278802993
364,955.56,76.51,4168.1,11.2,0.26605985
365,955.9,72.82,3181.5,9.7,0.251870324
366,956.05,72.68,4012.4,9.0,0.243092269
367,956.44,73.14,3621.0,9.4,0.252098765
368,957.24,68.71,2672.7,10.8,0.248404908
369,956.84,70.48,2934.8,10.4,0.262058824
370,956.27,75.31,4287.3,10.4,0.274352941
371,956.27,71.39,2501.6,10.8,0.27239229
372,957.1,70.88,2296.7,10.1,0.291661017
373,956.74,71.25,4222.2,10.1,0.303370787
374,956.26,73.09,4756.6,9.4,0.314662921
375,973.37,67.46,3138.8,9.0,0.138187163
376,973.59,70.68,2887.4,9.4,0.151544944
377,973.87,72.05,2824.1,9.4,0.143039773
378,973.73,70.82,3536.2,8.6,0.145335265
379,973.54,69.67,3262.7,8.3,0.146665277
380,973.27,68.93,4073.3,8.6,0.147075552
381,972.69,72.33,4732.3,6.8,0.130472826
382,974.35,66.52,3050.6,9.4,0.157963153
383,973.87,65.02,3268.3,7.6,0.140179487
384,972.61,73.87,4640.0,9.4,0.128260649
385,972.45,74.15,4344.8,8.3,0.106151116
386,972.79,72.63,4166.2,8.3,0.094066937
387,973.54,66.3,3397.1,9.7,0.109959432
388,973.43,71.61,4006.3,9.0,0.125978702
389,973.29,69.5,3743.8,8.3,0.121130773
390,973.5,70.13,4399.3,8.3,0.125381959
391,973.3,69.94,3850.8,9.0,0.128398792
392,972.78,71.85,4416.4,8.6,0.120040984
393,972.71,71.46,4349.2,7.9,0.1156875
394,972.79,71.67,4461.8,9.7,0.123416667
395,973.08,67.47,3993.0,7.2,0.1189375
396,972.46,76.27,4651.4,8.6,0.1208
397,972.83,72.11,4565.4,8.3,0.12145
398,972.92,71.2,5182.8,8.3,0.125083333
399,973.25,72.65,4225.4,9.4,0.125791667
400,974.09,65.97,4227.5,8.3,0.117369811
401,973.67,69.58,4100.6,9.0,0.118962264
402,973.1,74.27,4929.7,8.3,0.118241509
403,973.12,69.07,3652.1,9.4,0.122490566
404,973.94,67.77,3393.2,9.4,0.12289434
405,973.54,68.18,4403.7,8.3,0.122954717
406,973.12,71.78,4672.5,8.3,0.122885704
407,910.59,69.0,2938.6,12.6,0.751769426
408,910.74,72.72,2732.3,10.8,0.722404508
409,911.02,74.43,2867.2,12.2,0.620603285
410,910.84,72.19,3576.7,10.4,0.71605175
411,910.66,71.15,3335.2,11.5,0.717827281
412,910.43,72.13,4318.3,11.2,0.966446965
413,909.84,74.73,4562.0,9.7,0.981655426
414,911.41,69.74,3095.1,10.8,1.001082158
415,911.16,67.64,4416.8,12.2,0.969646715
416,909.73,76.51,5203.3,12.2,0.946286131
417,909.62,76.97,4446.0,11.5,0.978712409
418,909.96,74.94,3978.6,11.9,0.873879332
419,910.71,68.92,3145.8,11.5,0.872746479
420,910.59,72.89,3799.5,10.4,0.813249635
421,910.48,71.34,3362.0,10.8,0.808099125
422,910.68,73.18,4081.9,10.8,0.917832168
423,910.46,73.48,3603.5,11.5,0.915238928
424,909.99,74.0,4274.0,13.7,0.840384615
425,909.86,74.97,5087.7,10.8,0.840763403
426,910.02,75.0,3424.3,10.8,0.841246723
427,910.35,70.07,5158.3,12.2,0.841051405
428,909.66,78.46,4849.7,11.9,0.839883552
429,910.01,74.85,4216.8,12.2,0.844468705
430,910.12,73.73,5356.7,11.5,0.845636099
431,910.45,73.74,4011.1,13.0,0.845577875
432,911.27,68.88,3406.5,10.8,0.870014556
433,911.03,71.25,4312.0,11.5,0.865174927
434,910.33,76.73,5371.479824274001,13.7,0.794619423
435,910.4,71.35,3503.6,11.2,0.816147565
436,911.18,69.57,3278.6,10.4,0.894714619
437,910.84,70.25,4820.6,12.2,0.928092603
438,910.36,73.72,4934.4,11.2,0.946039604
439,1007.37,65.74,1963.5,19.1,0.088793103
440,1007.59,69.91,1294.3,17.6,0.063706897
441,1007.9,69.36,1475.3,14.8,0.06137931
442,1007.73,70.66,2112.2,14.8,0.095391304
443,1007.47,68.69,2003.9,17.6,0.095391304
444,1007.29,68.94,1991.4,12.2,0.08745614
445,1006.67,71.78,2947.6,12.2,0.086578947
446,1008.4,65.95,1745.9,16.2,0.078508772
447,1007.86,63.89,1556.1,11.2,0.0769
448,1006.49,73.91,2998.2,18.7,0.0545
449,1006.29,72.99,2241.8,15.8,0.065360825
