,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),Yield (mt/ha)
450,4,14.8,26.48,86.7,0.055051546
451,4,14.3,26.38,86.34,0.042886598
452,4,14.8,26.3,86.82,0.036597938
453,4,15.3,26.43,86.55,0.034777778
454,4,12.0,26.39,86.51,0.043142857
455,4,13.0,26.54,86.42,0.041714286
456,4,14.3,26.55,86.53,0.041343284
457,4,13.0,26.42,86.94,0.078378378
458,4,14.3,26.55,86.84,0.085405405
459,4,14.8,26.73,86.82,0.101351351
460,4,13.0,26.39,87.37,0.114594595
461,4,13.0,26.58,86.61,0.132432432
462,4,13.0,26.59,86.81,0.167297297
463,4,8.7,26.4,86.69,0.206216216
464,4,16.1,26.58,85.73,0.241081081
465,4,11.5,26.99,86.01,0.240540541
466,4,15.3,26.72,87.0,0.237179487
467,4,14.3,26.83,86.09,0.233
468,4,18.1,26.81,84.86,0.190909091
469,4,14.8,26.87,86.12,0.21875
470,4,14.3,26.84,86.52,0.256875
471,3,5.4,25.215,84.24000000000001,0.656755824
472,3,4.0,25.075000000000003,85.1,0.820949094
473,3,4.0,25.18,83.015,0.821025887
474,3,4.0,24.925,86.16,0.821641791
475,3,4.0,24.96,85.6,0.739466951
476,3,4.0,24.92,86.74000000000001,0.821394737
477,0,4.0,24.795,87.06,0.821403509
478,3,4.0,24.82,85.81,0.738538012
479,3,6.5,25.755,82.315,0.821402439
480,3,4.0,24.785,87.08500000000001,0.821384615
481,3,4.0,24.935,86.68,0.821384615
482,3,5.4,25.05,86.38,0.810128866
483,3,4.0,25.105,85.755,0.82674359
484,3,5.4,25.02,86.80000000000001,0.879410256
485,3,7.6,25.125,86.49000000000001,0.819282051
486,3,5.4,25.145,86.35,0.787948718
487,3,4.0,25.31,85.63,0.779307692
488,3,4.0,25.325,85.935,0.797675676
489,3,4.0,25.185,86.16499999999999,0.806410256
490,3,4.0,25.335,85.485,0.882282051
491,3,4.0,25.54,86.11500000000001,0.933333333
492,3,4.0,25.245,86.595,0.897974684
493,3,4.7,25.380000000000003,85.545,0.596638655
494,3,4.0,25.425,86.27,0.636201681
495,3,4.0,25.195,86.62,0.616371237
496,3,4.7,25.495,84.86,0.618548387
497,3,4.7,25.96,83.8,0.627009646
498,3,4.7,25.48,86.67,0.65
499,3,4.7,25.59,84.75,0.645793651
500,3,5.4,25.62,83.44,0.653730159
501,3,4.0,25.76,85.09,0.657238095
502,3,4.0,25.635,85.595,0.654555556
503,0,4.0,26.0,83.62,0.964722222
504,0,4.0,25.92,83.28,0.862605042
505,0,2.2,26.065,81.565,0.811832061
506,0,4.0,25.605,85.88,0.783541667
507,0,2.2,25.71,84.745,0.597152778
508,0,2.2,25.765,85.10499999999999,0.73375
509,6,3.1,25.325,88.15,1.16375
510,2,3.4,25.615,85.4,1.099027778
511,0,4.0,26.01,84.51,1.466111111
512,8,1.3,25.125,89.35,1.467569444
513,8,1.3,25.19,89.18,1.067361111
514,8,1.3,25.42,88.1,1.206527778
515,0,2.9,25.86,84.3,1.199305556
516,0,1.8,25.69,86.055,0.846041667
517,12,0.8,25.875,85.33,0.666956522
518,0,2.2,25.945,84.41,0.626333333
519,8,1.8,25.625,86.78,0.683333333
520,8,3.1,25.67,86.94,0.698675497
521,8,1.8,25.285,88.7,0.718543046
522,12,5.2,25.745,87.16,0.724337748
523,0,2.2,26.05,85.37,0.711639344
524,8,1.3,25.39,89.03,0.709032258
525,8,3.1,25.450000000000003,88.24,0.710576923
526,8,2.6,25.54,88.22,0.56375
527,12,0.8,25.78,86.875,0.413454545
528,6,3.1,26.23,83.03,0.410909091
529,0,1.8,26.625,82.81,0.418095238
530,11,1.8,25.72,88.6,0.422641509
531,6,1.3,26.35,84.18,0.395
532,6,3.1,26.595,81.16499999999999,0.403333333
533,0,1.8,26.145,84.91,0.399583333
534,8,2.3,25.68,88.3,0.400819672
535,4,3.1,24.915,84.775,1.42591623
536,4,3.1,24.92,83.985,1.226465068
537,4,3.1,25.13,81.80000000000001,1.653072917
538,9,2.4,24.51,86.97999999999999,1.62775
539,9,2.1,24.47,86.78,1.621067358
540,4,3.1,24.685,86.34,1.567720207
541,13,2.1,24.265,88.85499999999999,1.708505155
542,9,2.7,24.48,86.66,1.622047847
543,1,3.4,25.36,82.65,1.427588517
544,9,2.1,24.08,89.70500000000001,1.444717703
545,9,2.1,24.135,89.555,1.603442308
546,10,2.3,24.315,88.81,1.695240385
547,9,2.1,24.645,86.26,1.728207927
548,5,3.4,24.505000000000003,87.855,1.928658162
549,9,1.9,24.645,87.18,1.682387449
550,4,3.1,24.805,85.845,1.457930556
551,4,3.6,24.485,88.00999999999999,1.368
552,4,3.1,24.6,87.925,1.193886076
553,9,2.1,24.255,89.02000000000001,1.038163743
554,9,2.7,24.630000000000003,88.01,0.900183113
555,4,3.1,25.02,86.19,0.830731261
556,9,2.4,24.295,89.685,0.870595968
557,9,2.1,24.380000000000003,88.83500000000001,0.879249117
558,10,2.3,24.46,89.005,0.878859348
559,9,3.4,24.630000000000003,88.185,0.869259259
560,5,3.4,24.99,85.3,0.860538721
561,4,3.1,25.665,83.20500000000001,0.491417526
562,9,1.6,24.635,89.42,0.504510309
563,3,2.5,25.24,84.86,0.513514894
564,4,3.6,25.665,81.0,0.498719665
565,4,3.1,25.53,83.975,0.491824268
566,9,2.3,24.82,88.50999999999999,0.480358035
567,10,3.1,19.6125,83.2925,0.97091094
568,13,3.4,19.4925,82.9875,0.872136057
569,10,3.6,19.44908346492531,83.2875,0.991062835
570,10,3.1,19.44908346492531,84.285,0.926620131
571,11,1.8,19.44908346492531,84.02,1.004190853
572,4,3.1,19.44908346492531,84.00500000000001,1.11474934
573,4,3.1,19.44908346492531,85.2925,0.969970878
574,10,3.1,19.44908346492531,83.7825,1.205699626
575,4,3.1,20.15,82.53,0.735120957
576,4,1.8,19.44908346492531,85.23,0.412252876
577,4,3.1,19.44908346492531,85.3375,0.488319273
578,10,1.3,19.5025,84.8925,0.559634421
579,10,2.8,19.4775,83.7275,0.559696288
580,10,1.8,19.44908346492531,84.5675,0.567583427
581,13,3.4,19.44908346492531,84.31,0.730551336
582,10,1.3,19.5125,84.1575,1.003879981
583,10,2.6,19.5825,84.9,1.042098453
584,4,3.1,19.44908346492531,84.12,1.093383029
585,4,3.1,19.44908346492531,85.6175,1.116512893
586,11,2.9,19.44908346492531,84.68,1.089548617
587,4,3.1,19.9325,84.155,1.008331715
588,10,3.1,19.44908346492531,85.3725,0.986992718
589,4,3.1,19.665,84.2325,1.010610101
590,11,1.8,19.44908346492531,85.17,1.06865697
591,9,3.4,19.44908346492531,84.7925,0.975801919
592,10,3.1,19.44908346492531,83.35249999999999,0.923043478
593,10,3.1,19.9725,83.3225,0.901116541
594,10,3.1,19.5875,85.495,0.817728571
595,9,5.2,19.615,84.1075,0.712027674
596,10,2.3,19.475,83.07,0.748461481
597,7,2.5,20.1325,83.345,0.733354865
598,10,3.1,20.15,83.99000000000001,0.781732193
