,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),Yield (mt/ha)
362,8,4.1,23.42,87.2,0.286034913
363,8,3.6,23.63,88.07,0.278802993
364,8,3.1,23.3,88.56,0.26605985
365,8,3.6,23.44,87.48,0.251870324
366,8,3.6,23.45,88.13,0.243092269
367,8,3.1,23.27,88.15,0.252098765
368,8,3.1,23.5,86.54,0.248404908
369,8,3.6,23.92,86.61,0.262058824
370,8,3.1,23.57,88.68,0.274352941
371,8,3.1,23.65,86.81,0.27239229
372,8,3.6,23.71,85.39,0.291661017
373,8,3.1,23.8,88.07,0.303370787
374,8,3.1,23.7,87.9,0.314662921
375,11,2.5,24.53,85.91,0.138187163
376,11,4.0,24.4,86.03,0.151544944
377,11,4.0,24.38,85.85,0.143039773
378,11,2.2,24.31,86.44,0.145335265
379,11,4.0,24.27,86.51,0.146665277
380,13,1.9,24.49,86.69,0.147075552
381,9,2.1,24.28,87.17,0.130472826
382,11,2.5,24.32,86.11,0.157963153
383,13,3.4,25.1,84.37,0.140179487
384,11,2.9,24.21,87.09,0.128260649
385,11,2.5,24.33,86.76,0.106151116
386,11,4.0,24.38,86.75,0.094066937
387,11,4.0,24.47,85.98,0.109959432
388,11,2.2,24.4,86.8,0.125978702
389,11,4.0,24.36,87.09,0.121130773
390,11,4.0,24.45,86.7,0.125381959
391,11,4.0,24.41,86.72,0.128398792
392,11,4.0,24.5,86.64,0.120040984
393,11,2.2,24.32,86.67,0.1156875
394,11,4.0,24.45,86.79,0.123416667
395,13,2.3,24.92,85.7,0.1189375
396,11,2.9,24.32,87.39,0.1208
397,11,4.0,24.4,86.52,0.12145
398,11,4.0,24.49,86.78,0.125083333
399,11,4.0,24.41,86.84,0.125791667
400,11,2.9,24.55,86.2,0.117369811
401,11,4.0,25.0,86.14,0.118962264
402,11,2.5,24.67,86.99,0.118241509
403,11,4.0,24.77,85.9,0.122490566
404,11,4.0,24.73,85.56,0.12289434
405,11,4.0,25.04,86.34,0.122954717
406,11,4.0,24.79,86.84,0.122885704
407,10,3.1,21.99,84.4,0.751769426
408,10,3.6,21.86,84.35,0.722404508
409,10,3.6,21.87,83.77,0.620603285
410,10,3.1,21.7,85.75,0.71605175
411,10,3.1,21.68,85.43,0.717827281
412,10,3.1,21.81,86.04,0.966446965
413,10,3.6,21.63,86.83,0.981655426
414,10,3.6,21.74,85.2,1.001082158
415,4,3.1,22.48,82.34,0.969646715
416,10,3.6,21.52,87.35,0.946286131
417,10,5.4,21.63,86.81,0.978712409
418,10,2.3,21.73,86.38,0.873879332
419,10,4.1,21.89,84.91,0.872746479
420,11,2.5,21.84,85.82,0.813249635
421,10,3.6,21.85,85.92,0.808099125
422,10,3.1,21.88,85.56,0.917832168
423,10,3.6,21.79,85.94,0.915238928
424,10,1.3,21.88,86.11,0.840384615
425,10,3.1,21.65,86.71,0.840763403
426,10,3.1,21.92,85.92,0.841246723
427,4,3.1,22.19,85.19,0.841051405
428,10,4.1,21.71,87.19,0.839883552
429,10,5.4,21.74,86.31,0.844468705
430,10,1.3,21.84,86.48,0.845636099
431,11,4.7,21.86,86.37,0.845577875
432,10,3.6,22.03,84.43,0.870014556
433,10,3.6,22.59,83.48,0.865174927
434,10,1.3,22.0,86.89,0.794619423
435,10,3.6,22.15,85.38,0.816147565
436,10,3.1,22.22,84.01,0.894714619
437,10,3.6,22.38,84.3,0.928092603
438,10,3.1,22.08,85.76,0.946039604
439,4,14.8,26.42,86.31,0.088793103
440,4,15.3,26.41,85.87,0.063706897
441,4,14.8,26.41,85.1,0.06137931
442,4,13.0,26.31,86.51,0.095391304
443,4,16.1,26.35,86.38,0.095391304
444,4,15.3,26.37,87.08,0.08745614
445,4,15.3,26.29,87.17,0.086578947
446,4,15.3,26.31,85.87,0.078508772
447,4,14.3,26.85,85.56,0.0769
448,4,11.2,26.31,87.05,0.0545
449,4,15.3,26.48,86.51,0.065360825
